,0
0,1000287009.0
1,1000399774.0
2,100181000000.0
3,100179000000.0
4,1000479073.0
5,19043.0
6,1000160246.0
7,100180000000.0
8,1000070865.0
9,18539.0
10,1000015150.0
11,1000109196.0
12,1000009218.0
13,1000243294.0
14,100182000000.0
15,1000165782.0
16,100183000000.0
17,1000232451.0
18,1000393179.0
19,1000092369.0
20,9557.0
21,1000041352.0
22,100194337.0
23,1000071395.0
24,1000020181.0
25,100184000000.0
26,1000294791.0
27,100059417.0
28,1000179397.0
29,1000251017.0
30,100121106.0
31,1000362201.0
32,1000036359.0
33,1000122268.0
34,1000387273.0
35,1000111438.0
36,1000462813.0
37,1000371614.0
38,1000030501.0
39,8121.0
40,100158298.0
