,0
0,1000021117.0
1,1000281440.0
2,1000363220.0
3,100181000000.0
4,1000041596.0
5,100183000000.0
6,100179000000.0
7,1000020564.0
8,100185000000.0
9,1000281742.0
10,1000151188.0
11,100184000000.0
12,1000353312.0
13,100150193.0
14,100009086.0
15,100146255.0
16,1000403471.0
17,100170916.0
18,1000393059.0
19,100166827.0
20,100036029.0
21,100182000000.0
22,1000176117.0
23,1000055348.0
24,1000151397.0
25,100158298.0
26,1000046500.0
27,100169715.0
28,1000192710.0
29,1000196441.0
30,100194337.0
31,1000540434.0
32,1000326173.0
33,100016715.0
34,1000459591.0
35,1000131737.0
36,1000101818.0
37,19975.0
38,1000191347.0
39,100180000000.0
40,1000143558.0
41,1000005587.0
42,1000151362.0
43,100186197.0
44,1000145120.0
45,1000545794.0
46,293.0
47,1000287009.0
48,1000158942.0
49,100102954.0
50,1000247626.0
51,1000020914.0
52,100072356.0
53,100019965.0
54,1000534815.0
55,100084157.0
56,1000252434.0
57,100110360.0
58,1000137830.0
59,100098477.0
60,1000376245.0
61,1000382057.0
62,1000032944.0
63,1000199804.0
64,100059648.0
65,100006305.0
66,1000020613.0
67,1000180578.0
68,100060279.0
69,100214474.0
70,1000005325.0
71,1000311498.0
72,100105599.0
73,1000042590.0
74,1000158186.0
75,100070281.0
76,6366.0
77,1000190710.0
78,1000145198.0
79,6871.0
80,100195162.0
81,27400.0
82,1000114010.0
83,4120.0
84,1000373999.0
85,1000482597.0
86,10277.0
87,1000323971.0
88,1000053796.0
89,100211437.0
90,1000290932.0
91,34529.0
92,100113467.0
93,1000373381.0
94,1000157878.0
95,1000402084.0
96,1000089824.0
97,715.0
98,100112970.0
99,1000451818.0
100,1000442867.0
101,1000443369.0
102,428.0
103,1000242116.0
104,1000152571.0
105,1000279554.0
106,1000262288.0
107,100098168.0
108,1000061408.0
109,1000231668.0
110,1000140431.0
111,1000440030.0
112,100117983.0
113,1000263558.0
114,1000170360.0
115,1000142011.0
116,16992.0
117,2383.0
118,1000034817.0
119,100052954.0
120,18891.0
121,1000151127.0
122,1000041322.0
123,1000393391.0
124,1000092397.0
125,1000077969.0
126,34499.0
127,100170396.0
128,1000328199.0
129,1000499026.0
130,700.0
131,1000168520.0
132,1000533105.0
133,31941.0
134,1000030501.0
135,100197959.0
136,1000127164.0
137,1000107808.0
138,100178294.0
139,1000414792.0
140,1000028911.0
141,1000459424.0
142,22255.0
143,1000032389.0
144,1000019641.0
145,100165893.0
146,100164440.0
147,100100008.0
148,1000420849.0
149,7243.0
150,1000444515.0
151,22429.0
152,1000195356.0
153,1000094620.0
154,100057641.0
155,100018599.0
156,100190081.0
157,1000252828.0
158,1000226296.0
159,1000121364.0
160,1000143294.0
161,1000529803.0
162,100073852.0
163,100010736.0
164,1000499889.0
165,1000490937.0
166,1000121315.0
167,1000536456.0
168,100091169.0
169,1000033699.0
170,3996.0
171,1000179087.0
172,1000306553.0
173,1000274560.0
174,1000294135.0
175,1000154031.0
176,100152267.0
177,1000060462.0
178,19348.0
179,1000232451.0
180,100084077.0
181,1000042446.0
182,1000362201.0
183,1000247617.0
184,1000008996.0
185,1000045518.0
