,0
0,100179000000.0
1,100181000000.0
2,1000451212.0
3,1000461643.0
4,100182000000.0
5,100185000000.0
6,1000458215.0
7,100183000000.0
8,1000476065.0
9,100088963.0
10,8112.0
11,100003376.0
12,100180000000.0
13,100184000000.0
14,1000537450.0
15,1000190710.0
16,1000532743.0
17,1000503200.0
18,1000283857.0
19,1000008890.0
20,1000537310.0
21,34142.0
22,1000008996.0
23,1000223355.0
24,1000158215.0
25,1000402006.0
26,1000046720.0
27,100016715.0
28,100190503.0
29,1000251482.0
30,1000455405.0
31,1000143294.0
32,1000401946.0
33,293.0
34,1000149966.0
35,1000283047.0
36,3996.0
37,1000041322.0
38,1000159431.0
39,100018599.0
40,1000279522.0
41,1353.0
42,100009086.0
43,1000537468.0
44,100021606.0
45,1000402033.0
46,1051.0
47,31392.0
48,100059864.0
49,1000279554.0
50,1000326173.0
51,100138629.0
52,2895.0
53,1000298168.0
54,100013470.0
55,100104261.0
56,1000106382.0
57,1000328199.0
58,1000537362.0
59,1000084882.0
60,1000537294.0
61,1000157733.0
62,4387.0
63,1000277985.0
64,1000402055.0
65,100035978.0
66,100165893.0
67,100003438.0
68,1000495438.0
69,1000423700.0
70,1000093968.0
71,100183061.0
72,100151167.0
73,1000005325.0
74,9557.0
75,1000279547.0
76,100186197.0
77,18406.0
78,100036029.0
79,16612.0
80,1000537344.0
81,1000423656.0
82,1000402685.0
83,100161860.0
84,1000294135.0
85,1000537463.0
86,1000402150.0
87,31638.0
88,1000360079.0
89,1000411062.0
90,1000050427.0
91,20643.0
92,1000183127.0
93,100164440.0
94,1000252434.0
95,100178733.0
96,100202799.0
97,1000062867.0
98,1000435079.0
99,100150193.0
100,100052897.0
101,23583.0
102,715.0
103,1000402135.0
104,1000020892.0
105,700.0
106,1000172771.0
107,1000402084.0
108,1000077969.0
109,1000021827.0
110,1000393413.0
111,1000053543.0
112,1000537376.0
113,1000279533.0
114,1000015150.0
115,1000019641.0
116,1000423726.0
117,100058885.0
118,1000266728.0
119,32831.0
120,1000290932.0
121,1000152857.0
122,1000444629.0
123,1000537357.0
124,1000320102.0
125,1000075385.0
126,1000401886.0
127,1000537349.0
128,100016356.0
129,100030166.0
130,1000127164.0
131,100169715.0
132,1000353312.0
133,1000499577.0
134,1000261378.0
135,1000287009.0
136,1000323971.0
137,1000151174.0
138,100006305.0
139,1000337961.0
140,100198655.0
141,476.0
142,100202008.0
143,1000539230.0
144,1000244707.0
145,1000117152.0
146,1000401971.0
147,31941.0
148,1000540434.0
149,100110898.0
150,100058652.0
151,100092683.0
152,1000270277.0
153,1000324090.0
154,37468.0
155,1000272836.0
156,1000476313.0
157,1000432514.0
158,1000183367.0
159,1000139462.0
160,1000429748.0
161,1000192710.0
162,1000021117.0
163,1000499889.0
164,1000210508.0
165,1000443585.0
166,1000367106.0
167,100026910.0
168,1000253028.0
169,1000151362.0
170,100007026.0
171,1000292325.0
172,1000393391.0
173,1000055348.0
174,16992.0
175,1000399281.0
176,1000195356.0
177,1000171215.0
178,1000387376.0
179,1000384431.0
180,100059417.0
181,1000401710.0
182,1000325869.0
183,1000151397.0
184,1000550129.0
185,1000398394.0
186,100167691.0
187,1000049908.0
188,32306.0
189,1000379863.0
190,1000101818.0
191,1000344053.0
192,1000373380.0
193,1000188064.0
194,1000191347.0
195,27400.0
196,1000373999.0
197,1000263558.0
198,1000009009.0
199,1000330102.0
200,100072356.0
201,1000363220.0
202,1000143973.0
203,100005108.0
204,1000376245.0
205,1000145120.0
206,1000249255.0
207,1000393059.0
208,1000020914.0
209,1000032944.0
210,1000299304.0
211,1000105780.0
212,5003.0
213,1000393089.0
214,1000318394.0
215,1000537431.0
216,1000061377.0
217,100004991.0
218,1000145198.0
219,1000317806.0
220,1000179397.0
221,1000028911.0
222,1000046500.0
223,1000113252.0
224,1000529249.0
225,1000212879.0
226,1000414792.0
227,100001001.0
228,1000030651.0
229,1000168241.0
230,1000440030.0
231,1000020613.0
232,100194337.0
233,1000137830.0
234,100210729.0
235,100180329.0
236,1000095926.0
237,1000078565.0
238,1000212809.0
239,1000279697.0
240,1000320268.0
241,26039.0
242,1000005587.0
243,1000545122.0
244,100131327.0
245,1000161701.0
246,1000443369.0
247,1000049927.0
248,1000545794.0
249,1000537402.0
250,100066036.0
251,1000366790.0
252,100023604.0
253,100137086.0
254,22255.0
255,1000127391.0
256,1000170360.0
257,1000466667.0
258,1000382057.0
259,1000210230.0
260,100065369.0
261,1000408457.0
262,1000153268.0
263,1000206329.0
264,1000231668.0
265,1000017355.0
266,1000030501.0
267,100121106.0
268,1000390834.0
269,6416.0
270,1000020591.0
271,1000176117.0
272,1000085668.0
273,1000277053.0
274,1000482597.0
275,1000165782.0
276,1000420849.0
277,1000054192.0
278,1000247650.0
279,38538.0
280,1000140431.0
281,1000158997.0
282,100179645.0
283,1000045518.0
284,16287.0
285,100118176.0
286,1000040028.0
287,100164777.0
288,1000107090.0
289,1000121315.0
290,1000463632.0
291,1000102009.0
292,479.0
293,1000041596.0
294,1000056449.0
295,1000279535.0
296,1000537479.0
297,1000036128.0
