,0
0,100035751.0
1,1000163874.0
2,100028108.0
3,100195162.0
4,100183000000.0
5,100182000000.0
6,1000247617.0
7,100180000000.0
8,1000266728.0
9,31027.0
10,100114608.0
11,100152267.0
12,1000143294.0
13,1000121364.0
14,1000326173.0
15,1000143882.0
16,100179000000.0
17,1000529249.0
18,100181000000.0
19,1000030501.0
20,100184000000.0
21,1000008046.0
22,1000166345.0
23,1000377057.0
24,100159724.0
25,9557.0
26,100034627.0
27,100039128.0
28,3996.0
29,100008909.0
30,1000399774.0
31,1000046720.0
32,1000202607.0
33,1000246165.0
34,100185000000.0
35,1000307303.0
36,1000008996.0
37,1000126976.0
38,1000311027.0
39,1000457903.0
40,1000370183.0
41,1000461382.0
42,1000475994.0
43,1000520961.0
44,100145268.0
45,1051.0
46,100003438.0
47,100003376.0
48,1000107806.0
49,1000183367.0
50,1000157878.0
51,1000294135.0
52,1000545794.0
53,100088963.0
54,100052897.0
55,1000159431.0
56,293.0
57,100030166.0
58,100190503.0
59,100151167.0
60,1000215520.0
61,1000263558.0
62,1000199417.0
63,1000298168.0
64,100158298.0
65,1000252372.0
66,1000179176.0
67,22255.0
68,1000030651.0
69,1000150814.0
70,1000077969.0
71,1000296725.0
72,1000290932.0
73,1000382057.0
74,100146255.0
75,100188027.0
76,4000.0
77,1000145208.0
78,1000032389.0
79,1000048167.0
80,1000414792.0
81,100058652.0
82,100117983.0
83,1000107808.0
84,1000003348.0
85,24395.0
86,1000160165.0
87,100013470.0
88,1000197427.0
89,1000298585.0
90,1000042590.0
91,1000168520.0
92,1000270277.0
93,1000061820.0
94,4387.0
95,1000056449.0
96,100213561.0
97,1000152415.0
98,1000060462.0
99,995.0
100,1000379863.0
101,100214733.0
102,1000009218.0
103,100076403.0
104,31638.0
105,1353.0
106,100111367.0
107,1000047781.0
108,27400.0
109,1000531980.0
110,18406.0
111,100036029.0
112,6960.0
113,34751.0
